source_user,target_user,weight,n_topic_direct,n_repost_mapped
小小小小小淡人,生草字幕组,4,1,3
雷神1999,雷神1999,4,4,0
蜡笔咔咔一,蜡笔咔咔一,4,2,2
陀螺不自转,拍帮主,4,3,1
三思逍遥,三思逍遥,4,1,3
齐鲁青未了-3,大耳朵中医,4,2,2
阿司匹林42195米,阿司匹林42195米,4,1,3
拍帮主,林步里,4,4,0
青岛郑浩,用户2733751065,4,4,0
Corbeauclaws,生草字幕组,4,0,4
山岚201403,中医田应旭,4,0,4
小肆在喝水,小肆在喝水,4,0,4
陕西汉书下酒,陕西汉书下酒,4,3,1
SAYONRRA,生草字幕组,4,1,3
胡思乱想的花,中医田应旭,3,0,3
_苏沐瑶_,星话大白,3,3,0
金池荷涟涟,马宝琳谈房颤,3,2,1
装点此关山9,林步里,3,3,0
蝉layaaaa,生草字幕组,3,1,2
拍帮主,三个老爸实验室,3,3,0
貔恘移山,中医田应旭,3,1,2
切仔1025,江卓尔_大号,3,0,3
不如不曾来,Jokielicious,3,0,3
光在上影在下,生草字幕组,3,0,3
核聚变ju,陕西汉书下酒,3,1,2
贝勒王·,生草字幕组,3,1,2
豆豆的口水流下来了,阿司匹林42195米,3,0,3
西北偏东南2020,陕西汉书下酒,3,1,2
园风,中医田应旭,3,1,2
宁津融媒,人民日报,3,2,1
汐宫桃切片,生草字幕组,3,1,2
兔八歌66,兔八歌66,3,3,0
金池荷涟涟,方脑壳邓铂鋆,3,3,0
金池荷涟涟,得意的弦小二,3,0,3
平安曲靖,云南政法,3,1,2
豆婶儿是只猫,意大利华裔郭医生,3,3,0
拉拉lala尼莫nimo,林步里,3,3,0
夜满月Crystal,生草字幕组,3,1,2
马思特99,新浪健康派,3,3,0
露丝小师哥,人民日报健康客户端,3,3,0
汉唐长安中医郭仲凯,陶唐中医TaotangTCM,3,3,0
ALEX-SJ,生草字幕组,3,1,2
无角螭,生草字幕组,3,0,3
Meowskey,中医田应旭,3,1,2
悦学益进,大耳朵中医,3,0,3
小虎吉,生草字幕组,3,1,2
ykcci,生草字幕组,3,0,3
罗百竹,翟医师,3,3,0
盖世英雄玉椒龙,盖世英雄玉椒龙,3,3,0
圆环之手,Creamy蕉,3,0,3
不再是小编了,中医田应旭,3,1,2
雨山-hk,生草字幕组,3,1,2
庞亚辉的海阔天空,子陵在听歌,3,3,0
制心一处万物同频,生草字幕组,3,0,3
贺州反邪,广西反邪教,3,1,2
胶佬WJ,生草字幕组,3,0,3
仝华,东明仝建华,3,0,3
huabiwei,得意的弦小二,3,0,3
huabiwei,中医田应旭,3,1,2
皇汉1976,拍帮主,3,3,0
ybjtmhyby,林步里,3,3,0
琪梦达,答案事务所,3,1,2
下雪天的寒冰掌,生草字幕组,3,0,3
叶行舟_作者大大们今天更新了吗,阿司匹林42195米,3,0,3
邪不压正_长寿康宁,上海反邪教,3,1,2
姚安政法,云南政法,3,3,0
伯阳先生-段本司,专业戳轮胎熊律师,3,3,0
极客红石,三个老爸实验室,3,3,0
70的果子,中医田应旭,3,0,3
泡芙奶油妹,泡芙奶油妹,3,3,0
不吃糖不吃糖就是不吃糖,难般聊聊,3,0,3
美国医级资源_Sonmore,美国医级资源_Sonmore,3,1,2
三木79872,生草字幕组,3,0,3
先聚焦后改变,中医张恒毅,3,1,2
我谁3,南海客尘,3,3,0
时光之心惟精一,陕西汉书下酒,3,3,0
刘枪枪的猪头三生活,刘枪枪的猪头三生活,3,3,0
美中不足5555,阿司匹林42195米,3,0,3
盛怒的羔羊,Jokielicious,3,0,3
广州一尘子,开车看白云,3,3,0
雷神1999,新浪热点,3,3,0
卢瑟希for特摄是本命,生草字幕组,3,0,3
波浪女郎,陕西汉书下酒,3,2,1
雷神1999,尼玛·顿珠,3,3,0
MaoTaiPianzhi茅台片仔癀,辰尘kira,3,1,2
coffee4U-,生草字幕组,3,1,2
雷神1999,猴大宝,3,3,0
raruku2010或者叫口袋,生草字幕组,3,0,3
子午侠士,梅子在想什么,3,0,3
阿添要变强,生草字幕组,3,1,2
baby-unicorn,钉子1666,3,0,3
我是希尔瑞思,新西兰先驱报中文网,3,3,0
夏天了Y_,科技INF,3,3,0
A大的遊戲晉級了,生草字幕组,3,0,3
Jokielicious,Jokielicious,3,0,3
小奥俊,中医田应旭,3,1,2
敷和中医LI,敷和中医LI,3,1,2
用户7821370827,中医田应旭,3,0,3
知行合一_2023-3,陕西汉书下酒,3,1,2
佛心蛊虫2,林步里,3,3,0
Yao烦忧,Jokielicious,3,1,2
一团矛盾-中医药探讨,一团矛盾-中医药探讨,3,1,2
我叫三颗牙,我叫三颗牙,3,0,3
斯文易昂,生草字幕组,3,0,3
喵小狸0,生草字幕组,3,0,3
石中柔55,大耳朵中医,3,3,0
内经爱好者,中医田应旭,3,1,2
沉迷伊达的刀的鱼,生草字幕组,3,1,2
祈福838342037,中医张恒毅,3,1,2
田胤齐x2,Jokielicious,3,0,3
一步一喵,生草字幕组,3,1,2
田中半夏,生草字幕组,3,1,2
敬畏自然168,大耳朵中医,3,0,3
沐恩,得意的弦小二,3,0,3
兰院长讲心理,南海客尘,3,3,0
烟雨笙笙,新浪新闻,3,3,0
Jeffgaoyang,钉子1666,3,1,2
猜猜1171,猜猜1171,3,3,0
俞荷娟X,亟兮般若,3,1,2
饱乐促和谐反极端,老刘答问,3,3,0
武毅智,江卓尔_大号,3,0,3
宋汝界律师,贝壳财经,3,1,2
果与贼,Jokielicious,3,0,3
万事大吉A,瘦不了的中医肥猫,3,2,1
旗帜飞扬爱生活,子陵在听歌,3,3,0
伯阳先生-段本司,开水族馆的生物男,3,3,0
蒋雍巴姆,中医田应旭,3,1,2
常常的花园,阿司匹林42195米,3,1,2
临沧政法,云南政法,3,1,2
拍帮主,赤jio熊喵,3,3,0
Corbeauclaws,江卓尔_大号,3,0,3
蒙古前单,赤jio熊喵,3,3,0
王成康Kingod,生草字幕组,3,0,3
秦梦琉,生草字幕组,3,0,3
林步里,拍帮主,3,3,0
飞天神猪的欢乐窝,余昌平医生,3,3,0
宫之琳love胖之猫,新浪健康派,3,3,0
Apocalypse-锐,拍帮主,3,3,0
阿超_港媒视点,香港商報網,3,2,1
知行合一_2023-3,南海客尘,3,3,0
反对新世界秩序,尼玛·顿珠,3,3,0
四十有志于学,南海客尘,3,3,0
合一wh,观察者网,3,1,2
虚实畛域,中医田应旭,3,0,3
lavender-loyal,中医黄锐,3,0,3
反二次猿2,小猪男孩,3,0,3
飞鱼佳儿,林步里,3,3,0
陀螺不自转,生草字幕组,3,0,3
中医肖阁敏,中医肖阁敏,3,2,1
KrisFish,三个老爸实验室,3,3,0
叮当的注会之旅,飞龙中医,3,0,3
jodycui,生草字幕组,3,0,3
中医刘茜檬,中医田应旭,3,1,2
实事求是___,江卓尔_大号,3,1,2
中医张恒毅,中医田应旭,3,0,3
中医妇儿林波,中医妇儿林波,3,0,3
中医妇儿林波,飞龙中医,3,0,3
老张评论,辰尘kira,3,0,3
中医唐伟,中医田应旭,3,0,3
dianc1,生草字幕组,3,1,2
flex66,林步里,3,3,0
躁动的永泽君,江卓尔_大号,3,0,3
茫茫本尊,马宝琳谈房颤,3,0,3
维卡斯啦啦啦啦啦,江卓尔_大号,3,0,3
开车看白云,开车看白云,3,3,0
草莓拧成面条lysate,答案事务所,3,1,2
派大xingi丶,答案事务所,3,1,2
呵呵上海2012,林_优里,3,3,0
半梦·半醒之间,中医田应旭,3,0,3
黑乎乎是我,答案事务所,3,1,2
南海客尘,方脑壳邓铂鋆,3,3,0
呵呵上海2012,熊猫白露,3,3,0
春夏的风雨,阿司匹林42195米,3,0,3
怪手堂怪手先生彭一峰,呼吸科大夫胡洋,3,3,0
头痛咸鱼咵啦啦,生草字幕组,3,0,3
微博澳大利亚,悉尼印象微博,3,1,2
北京房山韩村河健康教育,健康中国,3,3,0
超级猪猪球,拍帮主,3,3,0
二猪,战甲装研菌,3,3,0
大狗狗的尾巴,杨晓峰医生,3,0,3
呵呵上海2012,吕杨先生,3,3,0
千万别给我放醋,林步里,3,3,0
梵如夏花,得意的弦小二,3,0,3
达棍香蕉棒,南海客尘,3,3,0
北七里寨,极客红石,3,3,0
乾坤赢得一闲人,中医田应旭,3,0,3
齐鲁青未了-3,中医田应旭,3,1,2
sd10980,生草字幕组,3,1,2
千夜梦语,生草字幕组,3,1,2
遇水04,得意的弦小二,3,0,3
呵呵上海2012,德国Zoe妈妈,3,3,0
这得有多大仇,拍帮主,3,3,0
100_Nora,生草字幕组,3,0,3
近卫步兵师,林步里,3,3,0
SilveryRoseLily,Jokielicious,3,0,3
繁松山雨,大耳朵中医,3,0,3
用户6016697856,联合国,3,3,0
星弧权益,阿超_港媒视点,3,1,2
森南有鹿_apv,拍帮主,3,3,0
星弧权益,香港商報網,3,2,1
当归拉法_Dr段,当归拉法_Dr段,3,1,2
京虎子,京虎子,3,0,3
森南有鹿_apv,林步里,3,3,0
赤胆忠心Moss酱,拍帮主,3,3,0
1ppaNR3,生草字幕组,3,0,3
浅拾忆_LRG,答案事务所,3,1,2
呵呵上海2012,防疫拉满的厂长,3,3,0
titandream,三个老爸实验室,3,2,1
悄悄在远方的小明哥,林步里,3,3,0
浩瀚DY星空,中医田应旭,3,1,2
麦可依然香饽饽,生草字幕组,3,0,3
椟菽荫,生草字幕组,3,1,2
今天要来点瘦胖安利吗喵,生草字幕组,3,1,2
赤jio熊喵,方脑壳邓铂鋆,3,3,0
南海客尘,林步里,3,3,0
津云新闻,津云新闻,3,3,0
Phaskolos,中医田应旭,2,1,1
李家二猫的小鱼,上帝之鹰_5zn,2,1,1
李实Sebastian,生草字幕组,2,0,2
SSY织不动了,生草字幕组,2,1,1
知易行易可以不难,中医田应旭,2,0,2
石油海洋哥,现代诗人牛彪,2,2,0
紫苏sunny,生草字幕组,2,0,2
还是你们的瓜总呀,还是你们的瓜总呀,2,1,1
兰兰和萱萱,答案事务所,2,1,1
李米G,生草字幕组,2,1,1
熙熙攘攘独木桥·,熙熙攘攘独木桥·,2,1,1
照完镜子正衣冠,照完镜子正衣冠,2,2,0
挪微,南海客尘,2,2,0
李实Sebastian,林步里,2,2,0
绒球jr,生草字幕组,2,0,2
肖意一肖宇齐,有来医生video君,2,1,1
坦斯泼爱父国国美,水獭一般编-阿怡,2,2,0
丁字沽楞子,丁字沽楞子,2,2,0
SOSOX_,新浪新闻,2,2,0
mitsu244,生草字幕组,2,0,2
要健康要努力,林步里,2,2,0
李爷无为,李爷无为,2,0,2
知行合一_2023-3,中医田应旭,2,0,2
知产女侠,中医田应旭,2,1,1
阿纳贝尔-卡托,南海客尘,2,2,0
Yao烦忧,生草字幕组,2,0,2
Yao烦忧,止谣君,2,0,2
肥宅居士,生草字幕组,2,1,1
海盗糖包,海盗糖包,2,2,0
六尘下,中国新闻网,2,1,1
阿莲瑞也,中医张恒毅,2,0,2
挑球过人的萝莉,生草字幕组,2,1,1
晓旋枫,中医田应旭,2,1,1
HRA-惠斯安普,观察者网,2,1,1
阿超_港媒视点,香港商報,2,2,0
要改正要学好,紫府求真,2,0,2
一键康,人民日报,2,1,1
只要名字足够长你们就记不住,梅子在想什么,2,1,1
小希在日本,生草字幕组,2,0,2
烧火小妖,答案事务所,2,1,1
奔六,止谣君,2,1,1
匡宦龙缆,新浪新闻,2,2,0
古倫美亞,中医田应旭,2,1,1
朱漆方台,中医田应旭,2,1,1
是福气满满的Viola呀,答案事务所,2,0,2
内分泌顾锋,内分泌顾锋,2,2,0
礼贤镇中心卫生院,北京市医疗卫生服务管理指导中心,2,2,0
朱漆方台,拍帮主,2,1,1
vanillaninjal,生草字幕组,2,1,1
热干面塑料袋,赤jio熊喵,2,2,0
医学美容菁英论坛,钱辉_医学美容,2,1,1
耽行者,生草字幕组,2,0,2
朱漆方台,钉子1666,2,0,2
防疫拉满的厂长,江卓尔_大号,2,1,1
nicole阿妮,祖传中医肖春林,2,1,1
教育心理学投资爱好者,用户7821370827,2,0,2
烑燚,生草字幕组,2,1,1
神器的Rachel,生草字幕组,2,0,2
曷不委心任去留_九,生草字幕组,2,0,2
北鼻小鹿,康斯坦丁,2,1,1
WinnifredX,止谣君,2,0,2
阳光枫叶V5,生草字幕组,2,1,1
nee的小星星0928,星_雨汐,2,1,1
IFVCK全世界,生草字幕组,2,1,1
兰院长讲心理,兰院长讲心理,2,1,1
阿奔-吃了吗您,生草字幕组,2,1,1
这得有多大仇,方脑壳邓铂鋆,2,2,0
肇庆西江网,人民日报,2,1,1
填鸭式教育受溢者,三思逍遥,2,1,1
杉何可见,杉何可见,2,1,1
揪鸠就酒,钉子1666,2,0,2
揪鸠就酒,Jokielicious,2,0,2
曦兮晨晖,江卓尔_大号,2,0,2
阿拉善政法,岳阳市中级人民法院,2,0,2
阿拉善政法,长治政法,2,1,1
碧落深处一点心,中医田应旭,2,0,2
myra就是笙於,中国网,2,2,0
碧绡朱绉,椟菽荫,2,2,0
医生田建华,经方梧桐先生,2,2,0
myra就是笙於,陈总是搞事,2,0,2
这得有多大仇,生草字幕组,2,0,2
昱渐_,昱渐_,2,1,1
紫燕逐光-珍惜,生草字幕组,2,0,2
这得有多大仇,止谣君,2,0,2
这得有多大仇,林步里,2,2,0
爱塌爱光的star同样爱芭比,止谣君,2,0,2
爱塌爱光的star同样爱芭比,钉子1666,2,0,2
三界之外青泠阁,生草字幕组,2,1,1
扶苏不是复苏,防务的避风港,2,2,0
辩证矛盾体,生草字幕组,2,0,2
天天都睡觉,生草字幕组,2,0,2
史老柒,林步里,2,2,0
先聚焦后改变,中医田应旭,2,0,2
先聚焦后改变,中医徐柏杨,2,0,2
承诺就是写在沙滩上旳字,月芽村小小村民,2,1,1
爱塌爱光的star同样爱芭比,梅子在想什么,2,0,2
济南市文化和旅游局,人民日报,2,1,1
元空医语,中医医门似海,2,2,0
在云养儿,在云养儿,2,1,1
千葉桜川,生草字幕组,2,1,1
红豆绿豆和豆豆,中医田应旭,2,1,1
小白爱吃五花肉,生草字幕组,2,0,2
雅妮雯妮佳凯LOVE,答案事务所,2,1,1
lynrt,钉子1666,2,0,2
三水三水hota,三水三水hota,2,1,1
三无_六不,张国庆看天下,2,0,2
小猫咪来了嗷,三个老爸实验室,2,1,1
小猫咪来了嗷,中医田应旭,2,1,1
来碗饸络面,知味健康,2,2,0
抚州资溪发布,人民日报,2,1,1
三思柯南,观察者网,2,0,2
随意不随便aetly,生草字幕组,2,1,1
光与热white,光与热white,2,0,2
在已无居,中医田应旭,2,1,1
爱塌爱光的star同样爱芭比,三个老爸实验室,2,1,1
隔壁班的二哈哈,央视网,2,2,0
ste远方,中医田应旭,2,1,1
先聚焦后改变,极客红石,2,2,0
FZ小药童,峰哥一切为了健康,2,2,0
天若有情7299823328,选择中医__董洪涛,2,2,0
天天都睡觉,不zuo的ph-4,2,2,0
车厂不阳人,中医田应旭,2,1,1
千年老人2016,生草字幕组,2,0,2
土豆泥和洋葱圈,赤jio熊喵,2,2,0
轩辕小泽,止谣君,2,0,2
像猪一样开心02,止谣君,2,0,2
智昊今天玩什么,全世界漂,2,2,0
叶莫秋,中医田应旭,2,0,2
能信就管,方脑壳邓铂鋆,2,2,0
爱生活的有志青年,新浪新闻,2,2,0
纯洁的万事屋,纯洁的万事屋,2,2,0
雨雪霏霏然2,中国新闻网,2,2,0
天涯远1,飞龙中医,2,1,1
叶行舟_作者大大们今天更新了吗,中医田应旭,2,1,1
叶过留痕--trendinmm,熊猫白露,2,2,0
下午茶2599,楚萍微客,2,0,2
Earth_tour,Earth_tour,2,2,0
天狼星alpha,中医田应旭,2,1,1
胥荣东主任医师,生草字幕组,2,0,2
盖被吹空调,时空点播,2,0,2
天明月兮,止谣君,2,0,2
盛夏花知晓,林步里,2,2,0
暄阳暖暖,39健康网,2,1,1
盛夏花知晓,中医田应旭,2,1,1
___shiuuuuuuuu,生草字幕组,2,1,1
杨逢春2015,美国医级资源_Sonmore,2,1,1
元宝兔兔好运,中医徐柏杨,2,0,2
元宝兔兔好运,中医张恒毅,2,0,2
纯尚女神,黑洞大叔说,2,2,0
胶佬WJ,拍帮主,2,2,0
眼镜猫miwumiwu,生草字幕组,2,0,2
小李飞刀再出发,香港中通社,2,0,2
全世界漂,中医田应旭,2,1,1
全世界漂,三个老爸实验室,2,2,0
陈如是说,答案事务所,2,1,1
全世界漂,Creamy蕉,2,1,1
全世界漂,专业戳轮胎熊律师,2,2,0
全国吃货大联盟,Jokielicious,2,0,2
可于可乐,答案事务所,2,1,1
华南围脖,生草字幕组,2,1,1
红尘hc2012,中医徐柏杨,2,0,2
万事支持哥,万事支持哥,2,2,0
胖书虫2008,Creamy蕉,2,0,2
胖书虫2008,Jokielicious,2,0,2
阿龙哥BLOG,阿龙哥BLOG,2,0,2
陀螺不自转,方脑壳邓铂鋆,2,2,0
Yukiya_片桐,生草字幕组,2,0,2
近卫步兵师,江卓尔_大号,2,0,2
titandream,钉子1666,2,0,2
睿睿的可爱多,答案事务所,2,1,1
titandream,中医田应旭,2,1,1
西药波波茶,生草字幕组,2,1,1
运神食的乐快,陳炫達叔叔,2,2,0
睡眠医学中心,中医刘茜檬,2,1,1
全民wisdom,全民wisdom,2,1,1
可乐橙子666,上帝之鹰_5zn,2,1,1
将一键删除拉黑运用到极致的懒鬼,生活小观众,2,1,1
Qianniansea,生草字幕组,2,0,2
陨石之谜123,陨石之谜123,2,2,0
天道玄通,答案事务所,2,0,2
天道V酬勤V,南海客尘,2,2,0
西安国际港务区,人民日报,2,1,1
兔叽去哪儿,生草字幕组,2,1,1
真xiang很香22,尹克伦观天下,2,0,2
千万别给我放醋,钉子1666,2,0,2
ROCKS穿越牛熊,江卓尔_大号,2,0,2
海岛猫鼬_,阿司匹林42195米,2,1,1
FuJunLG,阿司匹林42195米,2,0,2
西双版纳政法,云南政法,2,0,2
汉唐长安中医郭仲凯,科普小天才,2,2,0
看客零贰,丁字沽楞子,2,2,0
陳炫達叔叔,新浪新闻,2,2,0
陶侃疫苗,阿司匹林42195米,2,1,1
爱吃的汤圆是番薯皮的,爱吃的汤圆是番薯皮的,2,1,1
来去之间,寒江独钓僧,2,2,0
Zenobruto,Jokielicious,2,1,1
西星吾,南海客尘,2,2,0
陌上蝴蝶飞52,林步里,2,2,0
胖毛毛的耳朵朵,止谣君,2,0,2
拍帮主,it-is-truth,2,2,0
拍帮主,江卓尔_大号,2,0,2
拍帮主,酱紫色饭团,2,2,0
真白金猴,止谣君,2,0,2
千万别当真2,生草字幕组,2,1,1
千万别执着,中医田应旭,2,1,1
真实之艾丽卡,江卓尔_大号,2,1,1
陕西政协,中国日报,2,1,1
陕西汉书下酒,传统中医药马强,2,2,0
千万别给我放醋,拍帮主,2,2,0
陕西汉书下酒,得意学堂岱珈,2,0,2
织姬江礼·,冬遇川崎,2,1,1
小浪,观察者网,2,1,1
汝定君,汝定君,2,0,2
真性異言,生草字幕组,2,1,1
早起是新生,早起是新生,2,2,0
